"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children of householder under 18 years","FAMILIES!!Families!!With no own children of householder under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Married-couple families!!With own children under 18 years","FAMILIES!!Families!!Female householder, no spouse present","FAMILIES!!Families!!Female householder, no spouse present!!With own children under 18 years","FAMILIES!!Families!!Male householder, no spouse present","FAMILIES!!Families!!Male householder, no spouse present!!With own children under 18 years","FAMILY INCOME BY FAMILY SIZE","FAMILY INCOME BY FAMILY SIZE!!2-person families","FAMILY INCOME BY FAMILY SIZE!!3-person families","FAMILY INCOME BY FAMILY SIZE!!4-person families","FAMILY INCOME BY FAMILY SIZE!!5-person families","FAMILY INCOME BY FAMILY SIZE!!6-person families","FAMILY INCOME BY FAMILY SIZE!!7-or-more person families","FAMILY INCOME BY NUMBER OF EARNERS","FAMILY INCOME BY NUMBER OF EARNERS!!No earners","FAMILY INCOME BY NUMBER OF EARNERS!!1 earner","FAMILY INCOME BY NUMBER OF EARNERS!!2 earners","FAMILY INCOME BY NUMBER OF EARNERS!!3 or more earners","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone"
"        Estimate","","909","","716","0","43","128","0","18","4","55","705","","1","181","398","329","","507","211","296","469","211","2","0","36","0","","271","171","17","37","0","11","","168","163","168","8","","402","140","139","1","262","217","45"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","909","","78.8%","0.0%","4.7%","14.1%","0.0%","2.0%","0.4%","6.1%","77.6%","","0.1%","19.9%","43.8%","36.2%","","507","41.6%","58.4%","92.5%","41.6%","0.4%","0.0%","7.1%","0.0%","","53.5%","33.7%","3.4%","7.3%","0.0%","2.2%","","33.1%","32.1%","33.1%","1.6%","","402","34.8%","34.6%","0.2%","65.2%","54.0%","11.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","46,625","","53,021","-","-","-","-","-","-","55,163","52,969","","-","33,877","-","62,708","","52,813","34,365","62,667","55,787","34,365","-","-","-","-","","58,854","34,170","-","151,771","-","-","","51,167","92,292","34,141","-","","-","-","-","-","-","-","-"
"ZCTA5 93223","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,862","","1,694","21","25","10","4","768","340","2,386","441","","69","1,144","1,221","428","","2,316","993","1,323","1,408","590","611","288","297","115","","469","431","735","335","234","112","","243","706","730","637","","546","268","227","41","278","144","134"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,862","","59.2%","0.7%","0.9%","0.3%","0.1%","26.8%","11.9%","83.4%","15.4%","","2.4%","40.0%","42.7%","15.0%","","2,316","42.9%","57.1%","60.8%","25.5%","26.4%","12.4%","12.8%","5.0%","","20.3%","18.6%","31.7%","14.5%","10.1%","4.8%","","10.5%","30.5%","31.5%","27.5%","","546","49.1%","41.6%","7.5%","50.9%","26.4%","24.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","44,286","","41,864","-","-","-","-","55,299","-","46,346","35,417","","86,140","44,662","51,150","30,156","","42,267","36,506","51,674","54,362","53,857","26,958","-","40,417","-","","36,821","34,779","34,736","67,132","123,183","-","","14,905","31,439","41,939","96,845","","24,214","20,909","15,417","-","48,333","-","65,500"
"ZCTA5 93224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","122","","114","0","0","0","0","5","3","18","101","","0","36","52","34","","88","29","59","54","23","21","6","13","0","","39","13","21","2","8","5","","22","32","22","12","","34","17","15","2","17","9","8"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","122","","93.4%","0.0%","0.0%","0.0%","0.0%","4.1%","2.5%","14.8%","82.8%","","0.0%","29.5%","42.6%","27.9%","","88","33.0%","67.0%","61.4%","26.1%","23.9%","6.8%","14.8%","0.0%","","44.3%","14.8%","23.9%","2.3%","9.1%","5.7%","","25.0%","36.4%","25.0%","13.6%","","34","50.0%","44.1%","5.9%","50.0%","26.5%","23.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","49,500","","51,250","-","-","-","-","-","-","-","49,250","","-","46,250","73,750","38,750","","54,375","61,875","52,813","76,250","81,875","31,250","-","-","-","","61,250","110,313","42,750","-","37,500","-","","39,375","51,250","81,250","-","","33,000","21,250","16,250","-","47,813","48,438","-"
"ZCTA5 93225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,024","","1,877","0","12","23","0","64","48","285","1,664","","35","346","1,106","537","","1,296","443","853","982","258","245","128","69","57","","492","365","276","112","14","37","","211","289","569","227","","728","249","157","92","479","330","149"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,024","","92.7%","0.0%","0.6%","1.1%","0.0%","3.2%","2.4%","14.1%","82.2%","","1.7%","17.1%","54.6%","26.5%","","1,296","34.2%","65.8%","75.8%","19.9%","18.9%","9.9%","5.3%","4.4%","","38.0%","28.2%","21.3%","8.6%","1.1%","2.9%","","16.3%","22.3%","43.9%","17.5%","","728","34.2%","21.6%","12.6%","65.8%","45.3%","20.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","52,300","","52,953","-","-","-","-","-","-","49,414","53,352","","-","58,276","54,454","40,350","","60,957","51,875","70,582","72,414","52,386","-","-","-","-","","53,209","124,099","66,563","38,427","-","-","","29,526","54,470","67,375","200,561","","37,041","25,958","24,542","36,328","39,482","37,988","58,922"
"ZCTA5 93226","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","51","","47","4","0","0","0","0","0","0","47","","0","9","9","33","","29","3","26","26","0","3","3","0","0","","29","0","0","0","0","0","","20","2","7","0","","22","0","0","0","22","20","2"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","51","","92.2%","7.8%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","92.2%","","0.0%","17.6%","17.6%","64.7%","","29","10.3%","89.7%","89.7%","0.0%","10.3%","10.3%","0.0%","0.0%","","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","69.0%","6.9%","24.1%","0.0%","","22","0.0%","0.0%","0.0%","100.0%","90.9%","9.1%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","-","","-","-","-","-","-","-","-","-","-","","-","-","-","-","","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","24,286","-","-","-","","76,250","-","-","-","76,250","75,938","-"
"ZCTA5 93230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","22,529","","17,373","1,000","170","840","15","1,848","1,283","9,257","11,002","","817","8,616","7,915","5,181","","17,304","8,782","8,522","11,667","5,814","3,835","2,027","1,802","941","","6,250","3,959","3,820","1,812","1,051","412","","2,330","6,349","6,716","1,909","","5,225","2,779","2,274","505","2,446","1,681","765"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","22,529","","77.1%","4.4%","0.8%","3.7%","0.1%","8.2%","5.7%","41.1%","48.8%","","3.6%","38.2%","35.1%","23.0%","","17,304","50.8%","49.2%","67.4%","33.6%","22.2%","11.7%","10.4%","5.4%","","36.1%","22.9%","22.1%","10.5%","6.1%","2.4%","","13.5%","36.7%","38.8%","11.0%","","5,225","53.2%","43.5%","9.7%","46.8%","32.2%","14.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","65,674","","67,567","52,154","21,890","82,394","-","46,101","79,940","51,802","75,612","","40,266","68,117","78,998","49,436","","70,667","66,104","75,039","84,030","81,074","37,237","31,005","52,105","35,692","","63,471","75,508","76,881","74,652","75,724","100,526","","39,099","51,259","82,500","111,754","","41,100","35,497","32,260","60,078","52,778","42,873","88,002"
"ZCTA5 93234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,927","","749","23","53","0","0","794","308","1,852","38","","27","693","977","230","","1,609","776","833","1,026","406","417","323","166","47","","461","310","357","206","145","130","","244","579","413","373","","318","148","130","18","170","104","66"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,927","","38.9%","1.2%","2.8%","0.0%","0.0%","41.2%","16.0%","96.1%","2.0%","","1.4%","36.0%","50.7%","11.9%","","1,609","48.2%","51.8%","63.8%","25.2%","25.9%","20.1%","10.3%","2.9%","","28.7%","19.3%","22.2%","12.8%","9.0%","8.1%","","15.2%","36.0%","25.7%","23.2%","","318","46.5%","40.9%","5.7%","53.5%","32.7%","20.8%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","31,788","","36,349","-","-","-","-","28,125","-","32,292","-","","-","21,659","61,526","22,738","","35,461","25,091","60,641","47,237","32,847","16,773","15,843","-","-","","43,373","30,833","-","38,289","-","-","","20,069","21,573","50,987","88,618","","18,185","2,500-","2,500-","-","-","18,036","106,083"
"ZCTA5 93235","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,217","","641","0","20","0","0","483","73","954","228","","153","329","455","280","","1,041","552","489","669","248","99","72","273","232","","288","165","125","196","201","66","","202","353","361","125","","176","138","138","0","38","0","38"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,217","","52.7%","0.0%","1.6%","0.0%","0.0%","39.7%","6.0%","78.4%","18.7%","","12.6%","27.0%","37.4%","23.0%","","1,041","53.0%","47.0%","64.3%","23.8%","9.5%","6.9%","26.2%","22.3%","","27.7%","15.9%","12.0%","18.8%","19.3%","6.3%","","19.4%","33.9%","34.7%","12.0%","","176","78.4%","78.4%","0.0%","21.6%","0.0%","21.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","39,332","","34,375","-","-","-","-","39,332","-","39,550","-","","-","-","40,708","-","","39,336","38,817","43,308","44,212","-","14,273","13,488","39,149","38,901","","-","43,560","-","-","38,829","-","","-","25,982","40,950","86,688","","14,700","12,800","12,800","-","-","-","-"
"ZCTA5 93238","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","438","","435","0","0","0","0","3","0","0","435","","0","96","27","315","","92","47","45","92","47","0","0","0","0","","45","0","0","47","0","0","","0","92","0","0","","346","192","189","3","154","102","52"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","438","","99.3%","0.0%","0.0%","0.0%","0.0%","0.7%","0.0%","0.0%","99.3%","","0.0%","21.9%","6.2%","71.9%","","92","51.1%","48.9%","100.0%","51.1%","0.0%","0.0%","0.0%","0.0%","","48.9%","0.0%","0.0%","51.1%","0.0%","0.0%","","0.0%","100.0%","0.0%","0.0%","","346","55.5%","54.6%","0.9%","44.5%","29.5%","15.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","23,325","","23,288","-","-","-","-","-","-","-","23,288","","-","-","-","19,234","","55,851","-","-","55,851","-","-","-","-","-","","-","-","-","-","-","-","","-","55,851","-","-","","19,651","17,581","17,540","-","-","-","-"
"ZCTA5 93239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","589","","204","0","0","0","0","259","126","589","0","","0","266","261","62","","436","281","155","369","246","67","35","0","0","","108","33","211","45","16","23","","34","233","139","30","","153","0","0","0","153","139","14"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","589","","34.6%","0.0%","0.0%","0.0%","0.0%","44.0%","21.4%","100.0%","0.0%","","0.0%","45.2%","44.3%","10.5%","","436","64.4%","35.6%","84.6%","56.4%","15.4%","8.0%","0.0%","0.0%","","24.8%","7.6%","48.4%","10.3%","3.7%","5.3%","","7.8%","53.4%","31.9%","6.9%","","153","0.0%","0.0%","0.0%","100.0%","90.8%","9.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","41,707","","56,063","-","-","-","-","41,635","-","41,707","-","","-","41,059","41,670","-","","42,175","41,139","60,391","42,200","41,438","-","-","-","-","","55,125","-","41,498","83,839","-","-","","-","41,019","69,044","-","","41,092","-","-","-","41,092","-","-"
"ZCTA5 93240","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,640","","2,389","56","79","25","0","0","91","162","2,227","","27","580","973","1,060","","1,793","582","1,211","1,068","198","593","322","132","62","","1,081","457","148","32","42","33","","816","738","218","21","","847","428","428","0","419","321","98"
